clx,pred_sr,prob
1,t,0.3008
1,,0.1868
1,k,0.1016
1,a,0.078
1,ta,0.0768
1,tak,0.0636
1,tk,0.054
1,ak,0.0372
1,tt,0.0068
1,at,0.0056
1,ka,0.0052
1,gak,0.0048
1,ga,0.0044
1,dak,0.004
1,gk,0.004
1,dk,0.0032
1,da,0.0032
1,d,0.0032
1,g,0.0032
1,tkk,0.0032
1,td,0.0028
1,taa,0.0028
1,ttk,0.0028
1,tg,0.0028
1,tat,0.0028
1,kk,0.0024
1,ag,0.0024
1,tag,0.002
1,gt,0.002
1,kak,0.002
1,aak,0.002
1,dt,0.0016
1,kt,0.0016
1,tdk,0.0012
1,aa,0.0012
1,tgk,0.0008
1,tdak,0.0008
1,atk,0.0008
1,tad,0.0008
1,tka,0.0008
1,aat,0.0008
1,tdt,0.0008
1,ad,0.0008
1,tadta,0.0004
1,kaa,0.0004
1,tggk,0.0004
1,dkak,0.0004
1,tgt,0.0004
1,atdk,0.0004
1,akt,0.0004
1,akk,0.0004
1,ktaa,0.0004
1,kkak,0.0004
1,dgk,0.0004
1,taga,0.0004
1,taak,0.0004
1,atgk,0.0004
1,tda,0.0004
1,tgg,0.0004
1,dad,0.0004
1,dat,0.0004
1,daa,0.0004
1,tatgt,0.0004
1,tagt,0.0004
1,aakt,0.0004
1,dag,0.0004
1,tagk,0.0004
1,dkt,0.0004
1,kgk,0.0004
1,dta,0.0004
1,atdak,0.0004
1,kta,0.0004
1-A,taga,0.128
1-A,taa,0.0896
1-A,tada,0.0856
1-A,aga,0.0664
1-A,ada,0.0376
1-A,aa,0.0344
1-A,kaga,0.034
1-A,kada,0.0276
1-A,taaa,0.022
1-A,taka,0.0216
1-A,kaa,0.0208
1-A,tata,0.0172
1-A,aaga,0.0164
1-A,aada,0.0152
1-A,gaga,0.0148
1-A,aaa,0.0144
1-A,tkada,0.0144
1-A,daa,0.014
1-A,aka,0.0136
1-A,daga,0.0128
1-A,tga,0.0116
1-A,tagaa,0.0112
1-A,dada,0.0108
1-A,agaa,0.0104
1-A,gaa,0.01
1-A,ta,0.01
1-A,kaka,0.0096
1-A,gada,0.0096
1-A,tkaga,0.0096
1-A,ata,0.0088
1-A,taaga,0.008
1-A,tkaa,0.008
1-A,tka,0.0064
1-A,aaka,0.0052
1-A,kata,0.0052
1-A,ga,0.0048
1-A,ka,0.0044
1-A,tgaga,0.0044
1-A,tkata,0.0032
1-A,tgaa,0.0032
1-A,aata,0.0032
1-A,ttada,0.0032
1-A,a,0.0032
1-A,gaka,0.0028
1-A,kaaa,0.0028
1-A,daka,0.0028
1-A,taada,0.0028
1-A,taaka,0.0024
1-A,dkaga,0.0024
1-A,tdaga,0.0024
1-A,gata,0.0024
1-A,kka,0.002
1-A,tagata,0.002
1-A,tagada,0.002
1-A,tgada,0.0016
1-A,tagaga,0.0016
1-A,tkaaa,0.0016
1-A,takaga,0.0016
1-A,tta,0.0016
1-A,kkaa,0.0016
1-A,ttga,0.0016
1-A,akka,0.0016
1-A,akaa,0.0016
1-A,data,0.0016
1-A,tgata,0.0016
1-A,agada,0.0012
1-A,ttaga,0.0012
1-A,takaa,0.0012
1-A,atata,0.0012
1-A,agaga,0.0012
1-A,tkaka,0.0012
1-A,aaaa,0.0012
1-A,dtaga,0.0012
1-A,taata,0.0012
1-A,takka,0.0012
1-A,dagaa,0.0012
1-A,gaaa,0.0012
1-A,kkaga,0.0012
1-A,tkga,0.0012
1-A,gkada,0.0012
1-A,gkaa,0.0012
1-A,tgaka,0.0012
1-A,gka,0.0012
1-A,dtada,0.0012
1-A,dkada,0.0012
1-A,gtaa,0.0012
1-A,tagka,0.0008
1-A,tdada,0.0008
1-A,ataga,0.0008
1-A,taaaa,0.0008
1-A,ktada,0.0008
1-A,tagta,0.0008
1-A,adada,0.0008
1-A,kta,0.0008
1-A,tgka,0.0008
1-A,gtada,0.0008
1-A,tagaaa,0.0008
1-A,ggaga,0.0008
1-A,kga,0.0008
1-A,kkada,0.0008
1-A,ttka,0.0008
1-A,tgkaa,0.0008
1-A,tgkada,0.0008
