clxs,mhyp,urs,pred_srs,obs_srs,prob
1.1-A.2.2-A.3.3-A.4.4-A.5.5-A.6.6-A.7.7-A.8.8-A,intervocalic voicing.final devoicing,ag.ag-a.ta.ta-a.ta.ta-a.tt.tt-a.kg.kg-a.dd.dd-a..-a.kgt.kgt-a,ak.aga.ta.taa.ta.taa.tt.tta.kk.kga.dt.dda..a.kgt.kgta,tak.taga.tak.taka.tat.tada.tat.tata..kaga..kada..kaka..kata,0.0004
1.1-A.2.2-A.3.3-A.4.4-A.5.5-A.6.6-A.7.7-A.8.8-A,final devoicing,tag.tag-a.tak.tak-a.tad.tad-a.at.at-a..-a.kaa.kaa-a.kak.kak-a.ka.ka-a,tak.taga.tak.taka.tat.tada.at.ata..a.kaa.kaaa.kak.kaka.ka.kaa,tak.taga.tak.taka.tat.tada.tat.tata..kaga..kada..kaka..kata,0.0004
1.1-A.2.2-A.3.3-A.4.4-A.5.5-A.6.6-A.7.7-A.8.8-A,final devoicing,ag.ag-a.tak.tak-a.tad.tad-a.tat.tat-a.kt.kt-a..-a.da.da-a.akdt.akdt-a,ak.aga.tak.taka.tat.tada.tat.tata.kt.kta..a.da.daa.akdt.akdta,tak.taga.tak.taka.tat.tada.tat.tata..kaga..kada..kaka..kata,0.0004
1.1-A.2.2-A.3.3-A.4.4-A.5.5-A.6.6-A.7.7-A.8.8-A,final devoicing,d.d-a.tak.tak-a.tad.tad-a.tat.tat-a.kkd.kkd-a.ad.ad-a.kat.kat-a.a.a-a,t.da.tak.taka.tat.tada.tat.tata.kkt.kkda.at.ada.kat.kata.a.aa,tak.taga.tak.taka.tat.tada.tat.tata..kaga..kada..kaka..kata,0.0004
1.1-A.2.2-A.3.3-A.4.4-A.5.5-A.6.6-A.7.7-A.8.8-A,final devoicing,ta.ta-a.ta.ta-a.tad.tad-a.tat.tat-a.a.a-a.a.a-a.a.a-a.a.a-a,ta.taa.ta.taa.tat.tada.tat.tata.a.aa.a.aa.a.aa.a.aa,tak.taga.tak.taka.tat.tada.tat.tata..kaga..kada..kaka..kata,0.0004
1.1-A.2.2-A.3.3-A.4.4-A.5.5-A.6.6-A.7.7-A.8.8-A,,tag.tag-a.kak.kak-a.ta.ta-a.tkt.tkt-a.kg.kg-a.ka.ka-a.k.k-a.t.t-a,tag.taga.kak.kaka.ta.taa.tkt.tkta.kg.kga.ka.kaa.k.ka.t.ta,tak.taga.tak.taka.tat.tada.tat.tata..kaga..kada..kaka..kata,0.0004
1.1-A.2.2-A.3.3-A.4.4-A.5.5-A.6.6-A.7.7-A.8.8-A,final devoicing.intervocalic voicing,tak.tak-a.tk.tk-a.tat.tat-a.tad.tad-a.kag.kag-a.kk.kk-a.ag.ag-a.kgg.kgg-a,tak.taga.tk.tka.tat.tada.tat.tada.kak.kaga.kk.kka.ak.aga.kgk.kgga,tak.taga.tak.taka.tat.tada.tat.tata..kaga..kada..kaka..kata,0.0004
1.1-A.2.2-A.3.3-A.4.4-A.5.5-A.6.6-A.7.7-A.8.8-A,intervocalic voicing,tak.tak-a.ak.ak-a.tat.tat-a.tat.tat-a.tak.tak-a.kat.kat-a.taka.taka-a.kaa.kaa-a,tak.taga.ak.aga.tat.tada.tat.tada.tak.taga.kat.kada.taga.tagaa.kaa.kaaa,tak.taga.tak.taka.tat.tada.tat.tata..kaga..kada..kaka..kata,0.0004
1.1-A.2.2-A.3.3-A.4.4-A.5.5-A.6.6-A.7.7-A.8.8-A,final devoicing,tag.tag-a.tak.tak-a.tat.tat-a.taa.taa-a.ka.ka-a.ad.ad-a.kd.kd-a.at.at-a,tak.taga.tak.taka.tat.tata.taa.taaa.ka.kaa.at.ada.kt.kda.at.ata,tak.taga.tak.taka.tat.tada.tat.tata..kaga..kada..kaka..kata,0.0004
1.1-A.2.2-A.3.3-A.4.4-A.5.5-A.6.6-A.7.7-A.8.8-A,final devoicing.intervocalic voicing,tag.tag-a.tag.tag-a.ad.ad-a.tdt.tdt-a.kak.kak-a.aag.aag-a.kga.kga-a.kk.kk-a,tak.taga.tak.taga.at.ada.tdt.tdta.kak.kaga.aak.aaga.kga.kgaa.kk.kka,tak.taga.tak.taka.tat.tada.tat.tata..kaga..kada..kaka..kata,0.0004
