clx,pred_sr,prob
1,tak,0.8728
1,tk,0.0204
1,ak,0.0156
1,ta,0.0104
1,tdk,0.0076
1,tkk,0.0064
1,ttk,0.006
1,kak,0.006
1,aak,0.0052
1,dak,0.0048
1,tat,0.0044
1,gak,0.0036
1,tgk,0.0032
1,takk,0.0032
1,tkak,0.0028
1,tagk,0.0028
1,takt,0.0028
1,ktak,0.0028
1,tatk,0.0024
1,gtak,0.002
1,tdak,0.0016
1,taa,0.0012
1,ttak,0.0012
1,tgak,0.0012
1,atak,0.0008
1,taka,0.0008
1,dtak,0.0008
1,k,0.0008
1,t,0.0008
1,taak,0.0008
1,tdt,0.0004
1,gtaa,0.0004
1,takg,0.0004
1,gkk,0.0004
1,a,0.0004
1,ktgk,0.0004
1,tag,0.0004
1,tta,0.0004
1,tad,0.0004
1,tadk,0.0004
1,ka,0.0004
1,tt,0.0004
1-A,taga,0.8264
1-A,tga,0.0176
1-A,taa,0.0172
1-A,aga,0.0128
1-A,tagt,0.01
1-A,taka,0.0092
1-A,tagk,0.0084
1-A,taaa,0.0072
1-A,tdga,0.006
1-A,tkga,0.0052
1-A,gaga,0.0052
1-A,tagak,0.0048
1-A,tata,0.0044
1-A,kaga,0.004
1-A,aaga,0.004
1-A,tagaa,0.004
1-A,tgga,0.0036
1-A,tagat,0.0036
1-A,ttga,0.0036
1-A,tagka,0.0032
1-A,tagda,0.0032
1-A,tada,0.0024
1-A,takga,0.0024
1-A,gtaga,0.0024
1-A,tdaga,0.002
1-A,tagta,0.002
1-A,tadga,0.0016
1-A,ttaga,0.0016
1-A,ktaga,0.0016
1-A,daga,0.0016
1-A,taaga,0.0012
1-A,tatga,0.0012
1-A,tagga,0.0012
1-A,ta,0.0008
1-A,agt,0.0008
1-A,agk,0.0008
1-A,ataga,0.0008
1-A,tkaga,0.0008
1-A,tgaga,0.0008
1-A,gaa,0.0008
1-A,ttgda,0.0004
1-A,kagk,0.0004
1-A,tdgt,0.0004
1-A,tadt,0.0004
1-A,tagg,0.0004
1-A,tadak,0.0004
1-A,tagd,0.0004
1-A,tgt,0.0004
1-A,tgk,0.0004
1-A,tkgat,0.0004
1-A,ttgat,0.0004
1-A,tatgta,0.0004
1-A,tagkk,0.0004
1-A,tatkga,0.0004
1-A,tgagt,0.0004
1-A,ga,0.0004
1-A,tag,0.0004
1-A,tdtga,0.0004
1-A,ttagda,0.0004
1-A,ataa,0.0004
1-A,kga,0.0004
1-A,tgaaa,0.0004
1-A,dtaga,0.0004
1-A,tdta,0.0004
2,tak,0.8744
2,tk,0.024
2,ak,0.0152
2,ta,0.0136
2,aak,0.0064
2,ttk,0.0064
2,tgk,0.006
2,kak,0.0056
2,tdk,0.0052
2,dak,0.0048
2,gak,0.0048
2,tkk,0.0032
2,taa,0.0032
2,tgak,0.0028
2,takt,0.0024
2,taak,0.002
2,tat,0.002
2,gtak,0.002
2,taka,0.0016
2,tdak,0.0016
2,tkak,0.0016
2,tatk,0.0012
2,tadk,0.0012
2,ttak,0.0012
2,dtak,0.0012
2,atak,0.0008
2,takk,0.0008
2,tagk,0.0008
2,tad,0.0004
2,ad,0.0004
2,tdakk,0.0004
2,aa,0.0004
2,a,0.0004
2,kta,0.0004
2,k,0.0004
2,dkak,0.0004
2,tag,0.0004
2,tgkk,0.0004
2-A,taka,0.8488
2-A,tak,0.0208
2-A,aka,0.016
2-A,taa,0.016
2-A,tka,0.0084
2-A,takt,0.006
2-A,daka,0.0056
2-A,tada,0.0052
2-A,taaa,0.0052
2-A,tdka,0.0048
2-A,tkka,0.0048
2-A,takk,0.0048
2-A,gaka,0.0044
2-A,tgka,0.004
2-A,taga,0.0036
2-A,tata,0.0032
2-A,takat,0.0028
2-A,kaka,0.0028
2-A,ktaka,0.0024
2-A,aaka,0.0024
2-A,ttka,0.0024
2-A,tdaka,0.002
2-A,tadka,0.002
2-A,taaka,0.0016
2-A,ataka,0.0012
2-A,takaa,0.0012
2-A,takda,0.0012
2-A,tgaka,0.0012
2-A,takak,0.0008
2-A,tagka,0.0008
2-A,takga,0.0008
2-A,tkk,0.0008
2-A,tatka,0.0008
2-A,data,0.0008
2-A,dtaka,0.0008
2-A,tkt,0.0004
2-A,kkka,0.0004
2-A,akat,0.0004
2-A,gtaka,0.0004
2-A,taktga,0.0004
2-A,aa,0.0004
2-A,dka,0.0004
2-A,ak,0.0004
2-A,tgta,0.0004
2-A,taakk,0.0004
2-A,ktak,0.0004
2-A,akta,0.0004
2-A,tat,0.0004
2-A,akt,0.0004
2-A,tgk,0.0004
2-A,ttkat,0.0004
2-A,takkk,0.0004
2-A,akga,0.0004
2-A,ttaka,0.0004
2-A,tagta,0.0004
2-A,tkda,0.0004
2-A,taat,0.0004
2-A,dkka,0.0004
2-A,gak,0.0004
3,tat,0.88
3,tt,0.0248
3,at,0.024
3,ta,0.0116
3,ttt,0.0064
3,dat,0.006
3,tak,0.0048
3,tgt,0.004
3,tdt,0.004
3,gat,0.004
3,aat,0.0036
3,kat,0.0028
3,tkt,0.0028
3,tdat,0.002
3,tkat,0.002
3,ttat,0.0016
3,tatt,0.0016
3,tagt,0.0016
3,takt,0.0016
3,tgat,0.0012
3,dtat,0.0012
3,tadt,0.0012
3,tad,0.0008
3,tatk,0.0008
3,taa,0.0008
3,gtat,0.0004
3,adt,0.0004
3,t,0.0004
3,tdk,0.0004
3,kt,0.0004
3,dt,0.0004
3,tata,0.0004
3,ktat,0.0004
3,tkgt,0.0004
3,dtgt,0.0004
3,tk,0.0004
3,tdakt,0.0004
3-A,tada,0.8412
3-A,ada,0.0172
3-A,tda,0.016
3-A,taa,0.014
3-A,tadt,0.012
3-A,tadk,0.0088
3-A,kada,0.0056
3-A,dada,0.0056
3-A,tata,0.0052
3-A,gada,0.0052
3-A,ttda,0.0048
3-A,tkda,0.0048
3-A,taka,0.0044
