clx,pred_sr,prob
1,tak,0.9892
1,tk,0.0028
1,ak,0.0028
1,ta,0.0024
1,tkk,0.0004
1,aak,0.0004
1,taa,0.0004
1,tgk,0.0004
1,gak,0.0004
1,tat,0.0004
1,dak,0.0004
1-A,taga,0.9832
1-A,taka,0.0064
1-A,aga,0.0032
1-A,tga,0.0024
1-A,taa,0.0024
1-A,tkga,0.0004
1-A,aaga,0.0004
1-A,taaa,0.0004
1-A,gaga,0.0004
1-A,tada,0.0004
1-A,daga,0.0004
2,tak,0.9936
2,tk,0.0028
2,ta,0.0012
2,ak,0.0012
2,tgk,0.0004
2,tdk,0.0004
2,tat,0.0004
2-A,taka,0.984
2-A,taga,0.008
2-A,tka,0.0032
2-A,aka,0.0016
2-A,taa,0.0012
2-A,takga,0.0004
2-A,tgka,0.0004
2-A,tdka,0.0004
2-A,aaka,0.0004
2-A,tada,0.0004
3,tat,0.994
3,ta,0.0028
3,at,0.002
3,tt,0.0008
3,taa,0.0004
3-A,tada,0.9832
3-A,tata,0.0108
3-A,taa,0.0028
3-A,ada,0.0016
3-A,tda,0.0008
3-A,taaa,0.0004
3-A,gada,0.0004
4,tat,0.9916
4,tt,0.004
4,ta,0.0016
4,at,0.0012
4,tadt,0.0004
4,tatt,0.0004
4,kat,0.0004
4,tkt,0.0004
4-A,tata,0.98
4-A,tada,0.0124
4-A,tta,0.004
4-A,taa,0.0012
4-A,ata,0.0012
4-A,tatda,0.0004
4-A,kata,0.0004
4-A,tkta,0.0004
5,kak,0.5196
5,ka,0.098
5,kk,0.0932
5,ak,0.0932
5,k,0.0516
5,a,0.0244
5,,0.0128
5,kat,0.0116
5,kaa,0.0084
5,aak,0.008
5,tak,0.008
5,kgk,0.0068
5,kdk,0.0068
5,ktk,0.006
5,dak,0.0056
5,gak,0.0056
5,aa,0.004
5,kkk,0.004
5,at,0.0036
5,kt,0.0028
5,tk,0.0024
5,kagt,0.0016
5,ga,0.0016
5,ktak,0.0016
5,kagk,0.0016
5,gk,0.0012
5,kaak,0.0012
5,ta,0.0012
5,gkak,0.0012
5,kgak,0.0008
5,kdak,0.0008
5,tkak,0.0008
5,aat,0.0008
5,katk,0.0008
5,kkak,0.0008
5,kaga,0.0008
5,t,0.0008
5,kadk,0.0008
5,ttk,0.0004
5,dkak,0.0004
5,kakk,0.0004
5,kkgak,0.0004
5,agk,0.0004
5,tkk,0.0004
