clxs,mhyp,urs,pred_srs,obs_srs,prob
1.1-A.2.2-A.3.3-A.4.4-A.5.5-A.6.6-A.7.7-A.8.8-A,intervocalic voicing.final devoicing,tag.tag-ata.ta.ta-ata.t.t-ata.tad.tad-ata.k.k-ata.k.k-ata.k.k-ata.k.k-ata,tak.tagata.ta.taada.t.tada.tat.tadata.k.kada.k.kada.k.kada.k.kada,tak.taga.tak.taka.tat.tada.tat.tata..kaga..kada..kaka..kata,0.1584
1.1-A.2.2-A.3.3-A.4.4-A.5.5-A.6.6-A.7.7-A.8.8-A,final devoicing.intervocalic voicing,tag.tag-ata.ta.ta-ata.t.t-ata.tad.tad-ata.k.k-ata.k.k-ata.k.k-ata.k.k-ata,tak.tagata.ta.taada.t.tada.tat.tadata.k.kada.k.kada.k.kada.k.kada,tak.taga.tak.taka.tat.tada.tat.tata..kaga..kada..kaka..kata,0.154
1.1-A.2.2-A.3.3-A.4.4-A.5.5-A.6.6-A.7.7-A.8.8-A,intervocalic voicing.final devoicing,tag.tag-ata.t.t-ata.t.t-ata.tad.tad-ata.k.k-ata.k.k-ata.k.k-ata.k.k-ata,tak.tagata.t.tada.t.tada.tat.tadata.k.kada.k.kada.k.kada.k.kada,tak.taga.tak.taka.tat.tada.tat.tata..kaga..kada..kaka..kata,0.0912
1.1-A.2.2-A.3.3-A.4.4-A.5.5-A.6.6-A.7.7-A.8.8-A,final devoicing.intervocalic voicing,tag.tag-ata.t.t-ata.t.t-ata.tad.tad-ata.k.k-ata.k.k-ata.k.k-ata.k.k-ata,tak.tagata.t.tada.t.tada.tat.tadata.k.kada.k.kada.k.kada.k.kada,tak.taga.tak.taka.tat.tada.tat.tata..kaga..kada..kaka..kata,0.084
1.1-A.2.2-A.3.3-A.4.4-A.5.5-A.6.6-A.7.7-A.8.8-A,final devoicing.intervocalic voicing,tak.tak-ata.t.t-ata.t.t-ata.tad.tad-ata.k.k-ata.k.k-ata.k.k-ata.k.k-ata,tak.tagata.t.tada.t.tada.tat.tadata.k.kada.k.kada.k.kada.k.kada,tak.taga.tak.taka.tat.tada.tat.tata..kaga..kada..kaka..kata,0.07
1.1-A.2.2-A.3.3-A.4.4-A.5.5-A.6.6-A.7.7-A.8.8-A,intervocalic voicing.final devoicing,tak.tak-ata.t.t-ata.t.t-ata.tad.tad-ata.k.k-ata.k.k-ata.k.k-ata.k.k-ata,tak.tagata.t.tada.t.tada.tat.tadata.k.kada.k.kada.k.kada.k.kada,tak.taga.tak.taka.tat.tada.tat.tata..kaga..kada..kaka..kata,0.0632
1.1-A.2.2-A.3.3-A.4.4-A.5.5-A.6.6-A.7.7-A.8.8-A,final devoicing.intervocalic voicing,tag.tag-ata.ta.ta-ata.t.t-ata.tad.tad-ata.k.k-ata..-ata.k.k-ata.k.k-ata,tak.tagata.ta.taada.t.tada.tat.tadata.k.kada..ada.k.kada.k.kada,tak.taga.tak.taka.tat.tada.tat.tata..kaga..kada..kaka..kata,0.0384
1.1-A.2.2-A.3.3-A.4.4-A.5.5-A.6.6-A.7.7-A.8.8-A,intervocalic voicing.final devoicing,tag.tag-ata.ta.ta-ata.t.t-ata.tad.tad-ata.k.k-ata..-ata.k.k-ata.k.k-ata,tak.tagata.ta.taada.t.tada.tat.tadata.k.kada..ada.k.kada.k.kada,tak.taga.tak.taka.tat.tada.tat.tata..kaga..kada..kaka..kata,0.0344
1.1-A.2.2-A.3.3-A.4.4-A.5.5-A.6.6-A.7.7-A.8.8-A,intervocalic voicing.final devoicing,tag.tag-ata.tg.tg-ata.t.t-ata.tad.tad-ata.k.k-ata.k.k-ata.k.k-ata.k.k-ata,tak.tagata.tk.tgada.t.tada.tat.tadata.k.kada.k.kada.k.kada.k.kada,tak.taga.tak.taka.tat.tada.tat.tata..kaga..kada..kaka..kata,0.0196
1.1-A.2.2-A.3.3-A.4.4-A.5.5-A.6.6-A.7.7-A.8.8-A,final devoicing.intervocalic voicing,tag.tag-ata.tg.tg-ata.t.t-ata.tad.tad-ata.k.k-ata.k.k-ata.k.k-ata.k.k-ata,tak.tagata.tk.tgada.t.tada.tat.tadata.k.kada.k.kada.k.kada.k.kada,tak.taga.tak.taka.tat.tada.tat.tata..kaga..kada..kaka..kata,0.0148
