clxs,mhyp,urs,pred_srs,obs_srs,prob
1.1-A.1-B.1-B-A.2.2-A.2-B.2-B-A.3.3-A.3-B.3-B-A.4.4-A.4-B.4-B-A,deletion.generalized depalatalization.depalatalization.palatalization,ikik.ikik-a.ikik-i.ikik-i-a.ikak.ikak-a.ikak-i.ikak-i-a.ikc.ikc-a.ikc-i.ikc-i-a.ikat.ikat-a.ikat-i.ikat-i-a,ikik.ikika.ikiki.ikika.ikak.ikaka.ikaki.ikaka.ikt.ikta.ikci.ikta.ikat.ikata.ikaci.ikata,ikik....ikak.ikaka.ikaki.ikaka.ikit....ikat.ikata.ikaci.ikata,0.0005333333333333334
1.1-A.1-B.1-B-A.2.2-A.2-B.2-B-A.3.3-A.3-B.3-B-A.4.4-A.4-B.4-B-A,deletion.palatalization.depalatalization,ikiik.ikiik-a.ikiik-i.ikiik-i-a.ikak.ikak-a.ikak-i.ikak-i-a.ikic.ikic-a.ikic-i.ikic-i-a.ikat.ikat-a.ikat-i.ikat-i-a,ikik.ikika.ikiki.ikika.ikak.ikaka.ikaki.ikaka.ikit.ikica.ikici.ikica.ikat.ikata.ikaci.ikata,ikik....ikak.ikaka.ikaki.ikaka.ikit....ikat.ikata.ikaci.ikata,0.0004
1.1-A.1-B.1-B-A.2.2-A.2-B.2-B-A.3.3-A.3-B.3-B-A.4.4-A.4-B.4-B-A,generalized palatalization.generalized depalatalization.deletion.depalatalization.palatalization,ikik.ikik-a.ikik-i.ikik-i-a.ikak.ikak-a.ikak-i.ikak-i-a.kic.kic-a.kic-i.kic-i-a.ikac.ikac-a.ikac-i.ikac-i-a,ikik.ikika.ikiki.ikika.ikak.ikaka.ikaki.ikaka.kit.kita.kici.kita.ikat.ikata.ikaci.ikata,ikik....ikak.ikaka.ikaki.ikaka.ikit....ikat.ikata.ikaci.ikata,0.0004
1.1-A.1-B.1-B-A.2.2-A.2-B.2-B-A.3.3-A.3-B.3-B-A.4.4-A.4-B.4-B-A,generalized palatalization.depalatalization.generalized depalatalization.deletion.palatalization,ikik.ikik-a.ikik-i.ikik-i-a.ikak.ikak-a.ikak-i.ikak-i-a.ikic.ikic-a.ikic-i.ikic-i-a.ikac.ikac-a.ikac-i.ikac-i-a,ikik.ikika.ikiki.ikika.ikak.ikaka.ikaki.ikaka.ikit.ikita.ikici.ikita.ikat.ikata.ikaci.ikata,ikik....ikak.ikaka.ikaki.ikaka.ikit....ikat.ikata.ikaci.ikata,0.0002666666666666667
1.1-A.1-B.1-B-A.2.2-A.2-B.2-B-A.3.3-A.3-B.3-B-A.4.4-A.4-B.4-B-A,depalatalization.deletion.palatalization,ki.ki-a.ki-i.ki-i-a.ikak.ikak-a.ikak-i.ikak-i-a.ikt.ikt-a.ikt-i.ikt-i-a.ikat.ikat-a.ikat-i.ikat-i-a,ki.ka.ki.kia.ikak.ikaka.ikaki.ikaka.ikt.ikta.ikci.ikta.ikat.ikata.ikaci.ikata,ikik....ikak.ikaka.ikaki.ikaka.ikit....ikat.ikata.ikaci.ikata,0.0002666666666666667
1.1-A.1-B.1-B-A.2.2-A.2-B.2-B-A.3.3-A.3-B.3-B-A.4.4-A.4-B.4-B-A,generalized palatalization.deletion.generalized depalatalization.palatalization,ikik.ikik-a.ikik-i.ikik-i-a.ikak.ikak-a.ikak-i.ikak-i-a.kit.kit-a.kit-i.kit-i-a.ikat.ikat-a.ikat-i.ikat-i-a,ikik.ikika.ikiki.ikika.ikak.ikaka.ikaki.ikaka.kit.kita.kici.kita.ikat.ikata.ikaci.ikata,ikik....ikak.ikaka.ikaki.ikaka.ikit....ikat.ikata.ikaci.ikata,0.0002666666666666667
1.1-A.1-B.1-B-A.2.2-A.2-B.2-B-A.3.3-A.3-B.3-B-A.4.4-A.4-B.4-B-A,deletion.depalatalization.generalized depalatalization.palatalization,kik.kik-a.kik-i.kik-i-a.ikak.ikak-a.ikak-i.ikak-i-a.ikic.ikic-a.ikic-i.ikic-i-a.ikat.ikat-a.ikat-i.ikat-i-a,kik.kika.kiki.kika.ikak.ikaka.ikaki.ikaka.ikit.ikita.ikici.ikita.ikat.ikata.ikaci.ikata,ikik....ikak.ikaka.ikaki.ikaka.ikit....ikat.ikata.ikaci.ikata,0.0002666666666666667
1.1-A.1-B.1-B-A.2.2-A.2-B.2-B-A.3.3-A.3-B.3-B-A.4.4-A.4-B.4-B-A,depalatalization.generalized palatalization.deletion.generalized depalatalization.palatalization,aikik.aikik-a.aikik-i.aikik-i-a.ikak.ikak-a.ikak-i.ikak-i-a.ikit.ikit-a.ikit-i.ikit-i-a.ikat.ikat-a.ikat-i.ikat-i-a,ikik.ikika.ikiki.ikika.ikak.ikaka.ikaki.ikaka.ikit.ikita.ikici.ikita.ikat.ikata.ikaci.ikata,ikik....ikak.ikaka.ikaki.ikaka.ikit....ikat.ikata.ikaci.ikata,0.0002666666666666667
1.1-A.1-B.1-B-A.2.2-A.2-B.2-B-A.3.3-A.3-B.3-B-A.4.4-A.4-B.4-B-A,generalized palatalization.deletion.generalized depalatalization.depalatalization.palatalization,ikk.ikk-a.ikk-i.ikk-i-a.ikak.ikak-a.ikak-i.ikak-i-a.ikc.ikc-a.ikc-i.ikc-i-a.ikat.ikat-a.ikat-i.ikat-i-a,ikk.ikka.ikki.ikka.ikak.ikaka.ikaki.ikaka.ikt.ikta.ikci.ikta.ikat.ikata.ikaci.ikata,ikik....ikak.ikaka.ikaki.ikaka.ikit....ikat.ikata.ikaci.ikata,0.0002666666666666667
1.1-A.1-B.1-B-A.2.2-A.2-B.2-B-A.3.3-A.3-B.3-B-A.4.4-A.4-B.4-B-A,depalatalization.deletion.palatalization,kk.kk-a.kk-i.kk-i-a.ikak.ikak-a.ikak-i.ikak-i-a.c.c-a.c-i.c-i-a.ikat.ikat-a.ikat-i.ikat-i-a,kk.kka.kki.kka.ikak.ikaka.ikaki.ikaka.t.ca.ci.ca.ikat.ikata.ikaci.ikata,ikik....ikak.ikaka.ikaki.ikaka.ikit....ikat.ikata.ikaci.ikata,0.0002666666666666667
1.1-A.1-B.1-B-A.2.2-A.2-B.2-B-A.3.3-A.3-B.3-B-A.4.4-A.4-B.4-B-A,generalized palatalization.generalized depalatalization.deletion.palatalization.depalatalization,ikik.ikik-a.ikik-i.ikik-i-a.ikak.ikak-a.ikak-i.ikak-i-a.iki.iki-a.iki-i.iki-i-a.iikat.iikat-a.iikat-i.iikat-i-a,ikik.ikika.ikiki.ikika.ikak.ikaka.ikaki.ikaka.iki.ika.iki.ikia.ikat.ikata.ikaci.ikata,ikik....ikak.ikaka.ikaki.ikaka.ikit....ikat.ikata.ikaci.ikata,0.0002666666666666667
1.1-A.1-B.1-B-A.2.2-A.2-B.2-B-A.3.3-A.3-B.3-B-A.4.4-A.4-B.4-B-A,deletion.generalized depalatalization.palatalization,ikik.ikik-a.ikik-i.ikik-i-a.ikak.ikak-a.ikak-i.ikak-i-a.kit.kit-a.kit-i.kit-i-a.ikac.ikac-a.ikac-i.ikac-i-a,ikik.ikika.ikiki.ikika.ikak.ikaka.ikaki.ikaka.kit.kita.kici.kita.ikat.ikata.ikaci.ikata,ikik....ikak.ikaka.ikaki.ikaka.ikit....ikat.ikata.ikaci.ikata,0.0002666666666666667
1.1-A.1-B.1-B-A.2.2-A.2-B.2-B-A.3.3-A.3-B.3-B-A.4.4-A.4-B.4-B-A,deletion.depalatalization.generalized depalatalization.palatalization,ikik.ikik-a.ikik-i.ikik-i-a.ikak.ikak-a.ikak-i.ikak-i-a.ikt.ikt-a.ikt-i.ikt-i-a.ikac.ikac-a.ikac-i.ikac-i-a,ikik.ikika.ikiki.ikika.ikak.ikaka.ikaki.ikaka.ikt.ikta.ikci.ikta.ikat.ikata.ikaci.ikata,ikik....ikak.ikaka.ikaki.ikaka.ikit....ikat.ikata.ikaci.ikata,0.0002666666666666667
1.1-A.1-B.1-B-A.2.2-A.2-B.2-B-A.3.3-A.3-B.3-B-A.4.4-A.4-B.4-B-A,deletion.generalized depalatalization.palatalization.depalatalization,kik.kik-a.kik-i.kik-i-a.ikak.ikak-a.ikak-i.ikak-i-a.kit.kit-a.kit-i.kit-i-a.ikac.ikac-a.ikac-i.ikac-i-a,kik.kika.kiki.kika.ikak.ikaka.ikaki.ikaka.kit.kita.kici.kita.ikat.ikata.ikaci.ikata,ikik....ikak.ikaka.ikaki.ikaka.ikit....ikat.ikata.ikaci.ikata,0.0002666666666666667
1.1-A.1-B.1-B-A.2.2-A.2-B.2-B-A.3.3-A.3-B.3-B-A.4.4-A.4-B.4-B-A,generalized palatalization.generalized depalatalization.deletion.palatalization.depalatalization,ikik.ikik-a.ikik-i.ikik-i-a.ikak.ikak-a.ikak-i.ikak-i-a.t.t-a.t-i.t-i-a.ikat.ikat-a.ikat-i.ikat-i-a,ikik.ikika.ikiki.ikika.ikak.ikaka.ikaki.ikaka.t.ta.ci.ta.ikat.ikata.ikaci.ikata,ikik....ikak.ikaka.ikaki.ikaka.ikit....ikat.ikata.ikaci.ikata,0.0002666666666666667
1.1-A.1-B.1-B-A.2.2-A.2-B.2-B-A.3.3-A.3-B.3-B-A.4.4-A.4-B.4-B-A,depalatalization.deletion.palatalization,ikik.ikik-a.ikik-i.ikik-i-a.ikak.ikak-a.ikak-i.ikak-i-a.ikit.ikit-a.ikit-i.ikit-i-a.ikat.ikat-a.ikat-i.ikat-i-a,ikik.ikika.ikiki.ikika.ikak.ikaka.ikaki.ikaka.ikit.ikita.ikici.ikita.ikat.ikata.ikaci.ikata,ikik....ikak.ikaka.ikaki.ikaka.ikit....ikat.ikata.ikaci.ikata,0.0002666666666666667
1.1-A.1-B.1-B-A.2.2-A.2-B.2-B-A.3.3-A.3-B.3-B-A.4.4-A.4-B.4-B-A,depalatalization.generalized palatalization.deletion.generalized depalatalization.palatalization,ikk.ikk-a.ikk-i.ikk-i-a.ikak.ikak-a.ikak-i.ikak-i-a.ikt.ikt-a.ikt-i.ikt-i-a.ikat.ikat-a.ikat-i.ikat-i-a,ikk.ikka.ikki.ikka.ikak.ikaka.ikaki.ikaka.ikt.ikta.ikci.ikta.ikat.ikata.ikaci.ikata,ikik....ikak.ikaka.ikaki.ikaka.ikit....ikat.ikata.ikaci.ikata,0.0002666666666666667
1.1-A.1-B.1-B-A.2.2-A.2-B.2-B-A.3.3-A.3-B.3-B-A.4.4-A.4-B.4-B-A,deletion.generalized depalatalization.palatalization,ikik.ikik-a.ikik-i.ikik-i-a.ikak.ikak-a.ikak-i.ikak-i-a.ikic.ikic-a.ikic-i.ikic-i-a.ikat.ikat-a.ikat-i.ikat-i-a,ikik.ikika.ikiki.ikika.ikak.ikaka.ikaki.ikaka.ikit.ikita.ikici.ikita.ikat.ikata.ikaci.ikata,ikik....ikak.ikaka.ikaki.ikaka.ikit....ikat.ikata.ikaci.ikata,0.0002666666666666667
1.1-A.1-B.1-B-A.2.2-A.2-B.2-B-A.3.3-A.3-B.3-B-A.4.4-A.4-B.4-B-A,generalized palatalization.generalized depalatalization.depalatalization.deletion.palatalization,kik.kik-a.kik-i.kik-i-a.ikak.ikak-a.ikak-i.ikak-i-a.ikit.ikit-a.ikit-i.ikit-i-a.ikat.ikat-a.ikat-i.ikat-i-a,kik.kika.kiki.kika.ikak.ikaka.ikaki.ikaka.ikit.ikita.ikici.ikita.ikat.ikata.ikaci.ikata,ikik....ikak.ikaka.ikaki.ikaka.ikit....ikat.ikata.ikaci.ikata,0.0002666666666666667
1.1-A.1-B.1-B-A.2.2-A.2-B.2-B-A.3.3-A.3-B.3-B-A.4.4-A.4-B.4-B-A,generalized depalatalization.deletion.depalatalization.palatalization,iki.iki-a.iki-i.iki-i-a.ikak.ikak-a.ikak-i.ikak-i-a.ikt.ikt-a.ikt-i.ikt-i-a.ikac.ikac-a.ikac-i.ikac-i-a,iki.ika.iki.ikia.ikak.ikaka.ikaki.ikaka.ikt.ikta.ikci.ikta.ikat.ikata.ikaci.ikata,ikik....ikak.ikaka.ikaki.ikaka.ikit....ikat.ikata.ikaci.ikata,0.0002666666666666667
