clx,pred_sr,prob
1,ikik,0.7632
1,iki,0.056666666666666664
1,kik,0.04786666666666667
1,ikk,0.044533333333333334
1,ikit,0.0096
1,icik,0.009066666666666667
1,iktk,0.008666666666666666
1,tkik,0.007333333333333333
1,kkik,0.006533333333333334
1,iik,0.006266666666666667
1,akik,0.0056
1,ikak,0.005066666666666666
1,ikkk,0.0038666666666666667
1,ki,0.0034666666666666665
1,kk,0.0028
1,ik,0.002533333333333333
1,ikitk,0.0009333333333333333
1,itkik,0.0008
1,tkk,0.0008
1,ikii,0.0008
1,ckik,0.0008
1,ktk,0.0008
1,itk,0.0006666666666666666
1,ikt,0.0006666666666666666
1,cikik,0.0006666666666666666
1,ikcik,0.0006666666666666666
1,akk,0.0005333333333333334
1,ikiki,0.0005333333333333334
1,ikia,0.0005333333333333334
1,ikikt,0.0005333333333333334
1,kki,0.0004
1,kak,0.0004
1,ikikk,0.0004
1,ikkik,0.0004
1,ii,0.0002666666666666667
1,kit,0.0002666666666666667
1,icit,0.0002666666666666667
1,iit,0.0002666666666666667
1,kkk,0.0002666666666666667
1,tki,0.0002666666666666667
1,cik,0.0002666666666666667
1,kikik,0.0002666666666666667
1,ittk,0.0002666666666666667
1,aikk,0.00013333333333333334
1,kikk,0.00013333333333333334
1,kkkk,0.00013333333333333334
1,tcik,0.00013333333333333334
1,acik,0.00013333333333333334
1,cikk,0.00013333333333333334
1,tk,0.00013333333333333334
1,cikkk,0.00013333333333333334
1,kii,0.00013333333333333334
1,ikat,0.00013333333333333334
1,ttk,0.00013333333333333334
1,i,0.00013333333333333334
1,ikck,0.00013333333333333334
1,ciki,0.00013333333333333334
1,icikt,0.00013333333333333334
1,kcik,0.00013333333333333334
1,itkk,0.00013333333333333334
1,ikta,0.00013333333333333334
1,ikic,0.00013333333333333334
1,aki,0.00013333333333333334
1,ickik,0.00013333333333333334
1,itt,0.00013333333333333334
1,itki,0.00013333333333333334
1,kkit,0.00013333333333333334
1-A,ikika,0.7548
1-A,ika,0.05106666666666667
1-A,kika,0.047733333333333336
1-A,ikka,0.04493333333333333
1-A,ikia,0.011066666666666667
1-A,icika,0.009866666666666666
1-A,ikita,0.009733333333333333
1-A,iktka,0.008666666666666666
1-A,tkika,0.007466666666666667
1-A,kkika,0.006533333333333334
1-A,iika,0.0064
1-A,akika,0.0056
1-A,ikaka,0.0054666666666666665
1-A,ikkka,0.0038666666666666667
1-A,ka,0.0033333333333333335
1-A,kka,0.0030666666666666668
1-A,ikik,0.002266666666666667
1-A,ckika,0.0009333333333333333
1-A,ikta,0.0009333333333333333
1-A,ikitka,0.0009333333333333333
